party,variable,value,people,pct,question.x,topic,question.y,value_label,rank
Progressive Left,CC24_321a,1,8099.455760958023,0.946510814792506,"On the issue of gun regulation, do you support or oppose a proposal that would do the following? Ban assault rifles.",Guns,Gun control -- Ban assault rifles,Support,1
Disillusioned Left,CC24_321a,1,2295.2794481567144,0.8401244562459841,"On the issue of gun regulation, do you support or oppose a proposal that would do the following? Ban assault rifles.",Guns,Gun control -- Ban assault rifles,Support,2
Moderate Left,CC24_321a,1,6283.374896846172,0.8139899704912408,"On the issue of gun regulation, do you support or oppose a proposal that would do the following? Ban assault rifles.",Guns,Gun control -- Ban assault rifles,Support,3
Secular Moderates,CC24_321a,1,1711.67992607499,0.7797152741366378,"On the issue of gun regulation, do you support or oppose a proposal that would do the following? Ban assault rifles.",Guns,Gun control -- Ban assault rifles,Support,4
Religious Moderates,CC24_321a,1,8971.679889306937,0.7506977327577724,"On the issue of gun regulation, do you support or oppose a proposal that would do the following? Ban assault rifles.",Guns,Gun control -- Ban assault rifles,Support,5
Traditional Right,CC24_321a,1,3284.174608727279,0.3464405646483925,"On the issue of gun regulation, do you support or oppose a proposal that would do the following? Ban assault rifles.",Guns,Gun control -- Ban assault rifles,Support,6
MAGA Right,CC24_321a,1,1143.17477482289,0.27784641947599686,"On the issue of gun regulation, do you support or oppose a proposal that would do the following? Ban assault rifles.",Guns,Gun control -- Ban assault rifles,Support,7
Nationalist Right,CC24_321a,1,2332.73494755336,0.2349222941361672,"On the issue of gun regulation, do you support or oppose a proposal that would do the following? Ban assault rifles.",Guns,Gun control -- Ban assault rifles,Support,8
Faith-Based Conservatives,CC24_321a,1,776.0157880597749,0.23365854798258712,"On the issue of gun regulation, do you support or oppose a proposal that would do the following? Ban assault rifles.",Guns,Gun control -- Ban assault rifles,Support,9
Nationalist Right,CC24_323c,1,9281.574539684076,0.9347177596603178,What do you think the U.S. government should do about immigration? Build a wall between the U.S. and Mexico.,Immigration,Immigration -- Build a wall between the U.S. and Mexico,Support,1
Faith-Based Conservatives,CC24_323c,1,2824.5081626662836,0.8504601146113949,What do you think the U.S. government should do about immigration? Build a wall between the U.S. and Mexico.,Immigration,Immigration -- Build a wall between the U.S. and Mexico,Support,2
